event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date,is_major,latitude,longitude
742,Madrid Masters,"May 27 - 30, 2010",,Southampton,7162.0,72.0,Port Royal GC,2010-05-27,2010-05-30,,50.9025349,-1.404189
743,The Celtic Manor Wales Open,"June 3 - 6, 2010",,"Broussard, LA",7378.0,71.0,Le Triomphe CC,2010-06-03,2010-06-06,0.0,30.1471506,-91.9612413
744,Austrian Golf Open,"September 16 - 19, 2010",,Diamond Country Club,7242.0,72.0,,2010-09-16,2010-09-19,0.0,48.3152321,15.911921994331177
745,SAINT-OMER OPEN presented by Neuflize OBC,"June 17 - 20, 2010",,Aa St Omer,6846.0,71.0,,2010-06-17,2010-06-20,0.0,50.6846193,2.1389596
746,BMW International Open,"June 24 - 27, 2010",,Eichenreid,7026.0,72.0,Golfclub Munchen Nord,2010-06-24,2010-06-27,0.0,,
747,Alstom Open de France,"July 1 - 4, 2010",,"Paris, France",7300.0,71.0,Le Golf National,2010-07-01,2010-07-04,0.0,48.8534951,2.3483915
748,The Barclays Scottish Open,"July 8 - 11, 2010",,Loch Lomond,7149.0,71.0,,2010-07-08,2010-07-11,0.0,56.15619625,-4.656210521106075
749,Nordea Scandinavian Masters,"July 22 - 25, 2010",,Bro Hoff Slott GC,7365.0,72.0,,2010-07-22,2010-07-25,,,
750,3 Irish Open,"Jul 29 - August 1, 2010",,Killarney Golf & Fishing Club,7161.0,71.0,,2010-07-29,2010-08-01,0.0,52.0607552,-9.563386
751,Czech Open 2010,"August 19 - 22, 2010",,Prosper Golf Resort,7155.0,72.0,,2010-08-19,2010-08-22,0.0,49.5322581,18.32447941240447
752,Johnnie Walker Championship at Gleneagles,"August 26 - 29, 2010",,"Perth, Scotland",7316.0,72.0,Gleneagles Golf Course,2010-08-26,2010-08-29,0.0,56.3958186,-3.4286805
753,Omega European Masters,"September 2 - 5, 2010",,Sierre,6822.0,71.0,Crans sur,2010-09-02,2010-09-05,,46.2922522,7.5323195
754,KLM Open,"September 9 - 12, 2010",,Hilversumsche,6660.0,70.0,,2010-09-09,2010-09-12,0.0,52.2000316,5.213165033636365
755,TBC,"September 16 - 19, 2010",,,,,,2010-09-16,2010-09-19,0.0,,
756,Alfred Dunhill Links Championship,"October 7 - 10, 2010",,,7279.0,72.0,,2010-10-07,2010-10-10,0.0,,
757,Portugal Masters,"October 14 - 17, 2010",,Oceanico Victoria Clube de Golfe,7231.0,72.0,,2010-10-14,2010-10-17,,,
758,CASTELLO MASTERS Costa Azahar,"October 21 - 24, 2010",,Club de Campo del Mediterraneo,7111.0,71.0,,2010-10-21,2010-10-24,,38.4653442,-0.7856876
759,Andalucia Masters,"October 28 - 31, 2010",,Club de Golf Valderrama,6988.0,71.0,,2010-10-28,2010-10-31,,36.285500850000005,-5.3252204251923185
760,WGC - HSBC Champions,"November 4 - 7, 2010",,"Shanghai, China",7199.0,72.0,Sheshan International GC,2010-11-04,2010-11-07,0.0,31.2312707,121.4700152
761,Barclays Singapore Open,"November 11 - 14, 2010",,,7300.0,71.0,,2010-11-11,2010-11-14,0.0,,
762,UBS Hong Kong Open,"November 18 - 21, 2010",,Hong Kong GC,6700.0,70.0,,2010-11-18,2010-11-21,0.0,22.2793278,114.1628131
763,DUBAI WORLD CHAMPIONSHIP,"November 25 - 28, 2010",,Jumeirah Golf Estates,7675.0,72.0,,2010-11-25,2010-11-28,0.0,25.0177925,55.1633352
764,Hyundai Tournament of Champions,"January 7 - 10, 2010",5600000.0,"Kapalua, HI",,73.0,Kapalua Resort (Plantation Course),2010-01-07,2010-01-10,0.0,20.99490395,-156.6562339558182
765,Bob Hope Classic,"January 20 - 25, 2010",5000000.0,,,,,2010-01-20,2010-01-25,0.0,,
766,Waste Management Phoenix Open,"February 25 - 28, 2010",6000000.0,"Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2010-02-25,2010-02-28,0.0,33.4942189,-111.926018
767,AT&T Pebble Beach National Pro-Am,"February 11 - 14, 2010",6200000.0,,,,,2010-02-11,2010-02-14,0.0,,
768,Farmers Insurance Open,"January 28 - 31, 2010",5300000.0,,,72.0,,2010-01-28,2010-01-31,0.0,,
769,Sony Open in Hawaii,"January 14 - 17, 2010",5500000.0,"Honolulu, HI",,70.0,Waialae Country Club,2010-01-14,2010-01-17,0.0,21.304547,-157.855676
770,Northern Trust Open,"February 4 - 7, 2010",6400000.0,"Pacific Palisades, CA",,71.0,Riviera Country Club,2010-02-04,2010-02-07,0.0,34.0480643,-118.5264706
771,The Honda Classic,"March 4 - 7, 2010",5600000.0,"Palm Beach Gardens, FL",,70.0,PGA National Resort & Spa (The Champion),2010-03-04,2010-03-07,0.0,26.8233946,-80.1386547
772,Arnold Palmer Invitational presented by MasterCard,"March 25 - 29, 2010",6000000.0,"Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2010-03-25,2010-03-29,0.0,28.5421109,-81.3790304
773,THE PLAYERS Championship,"May 6 - 9, 2010",9500000.0,"Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2010-05-06,2010-05-09,0.0,30.2274645,-81.3800824
774,The Masters,"April 8 - 11, 2010",7500000.0,"Augusta, GA",,72.0,Augusta National Golf Club,2010-04-08,2010-04-11,1.0,33.4709714,-81.9748429
775,Verizon Heritage,"April 15 - 18, 2010",5700000.0,"Hilton Head Island, SC",,71.0,Harbour Town Golf Links,2010-04-15,2010-04-18,0.0,32.1618488,-80.7512616
776,Wyndham Championship,"August 19 - 22, 2010",5100000.0,"Greensboro, NC",,70.0,Sedgefield Country Club,2010-08-19,2010-08-22,0.0,36.0726355,-79.7919754
777,Shell Houston Open,"April 1 - 4, 2010",5800000.0,"Houston, TX",,72.0,Golf Club of Houston,2010-04-01,2010-04-04,0.0,29.7589382,-95.3676974
778,HP Byron Nelson Championship,"May 20 - 23, 2010",6500000.0,"Irving, TX",,70.0,TPC Four Seasons Resort,2010-05-20,2010-05-23,0.0,32.8295183,-96.9442177
779,Crowne Plaza Invitational at Colonial,"May 27 - 30, 2010",6200000.0,"Fort Worth, TX",,70.0,Colonial Country Club,2010-05-27,2010-05-30,0.0,32.753177,-97.3327459
780,the Memorial Tournament presented by Nationwide Insurance,"June 3 - 6, 2010",6000000.0,"Dublin, OH",,72.0,Muirfield Village Golf Club,2010-06-03,2010-06-06,0.0,40.0996009,-83.1135563
781,The Barclays,"August 26 - 29, 2010",7500000.0,"Paramus, NJ",7319.0,71.0,Ridgewood Country Club,2010-08-26,2010-08-29,0.0,40.9452911,-74.0735899
