City,base_url,is_golf_club
" Galloway, NJ",https://www.wunderground.com/history/daily/KACY/date/2024-10-26,False
Locust Hill Country Club,,True
" Rogers, AR",https://www.wunderground.com/history/daily/KXNA/date/2024-10-26,False
Sebonack Golf Club,,True
Grey Silo Golf Course,,True
" Sylvania, OH",https://www.wunderground.com/history/daily/KTOL/date/2024-10-26,False
Royal Mayfair Golf & Country Club,,True
" Portland, OR",https://www.wunderground.com/history/daily/KPDX/date/2024-10-26,False
"Bains, France",https://www.wunderground.com/history/daily/LFHP/date/2024-10-26,False
" Beijing, China",https://www.wunderground.com/history/daily/ZBNY/date/2024-10-26,False
" Kuala Lumpur, Malaysia",https://www.wunderground.com/history/daily/WMSA/date/2024-10-26,False
" University Place, WA",https://www.wunderground.com/history/daily/KSEA/date/2024-10-26,False
" Pinehurst, NC",https://www.wunderground.com/history/daily/KFAY/date/2024-10-26,False
" Cherry Hills Village, CO",https://www.wunderground.com/history/daily/KDEN/date/2024-10-26,False
Mount Edgecombe CC,,True
Glendower GC,,True
Gary Player CC,,True
Shenzen GC,,True
Santo da Serra,https://www.wunderground.com/history/daily/SDSC/date/2024-10-26,False
PGA Sweden National,https://www.wunderground.com/history/daily/KSAN/date/2024-10-26,False
Fota Island GC,,True
Royal Aberdeen GC,,True
Albatross Golf Resort,,True
Cicolo GC,,True
" Edmond, OK",https://www.wunderground.com/history/daily/KOKC/date/2024-10-26,False
" Bridgend, Wales",https://www.wunderground.com/history/daily/EGFF/date/2024-10-26,False
" Levis, PQ",https://www.wunderground.com/history/daily/SAEZ/date/2024-10-26,False
" Paradise Island, Bahamas",https://www.wunderground.com/history/daily/CYYT/date/2024-10-26,False
" Daly City, CA",https://www.wunderground.com/history/daily/KSFO/date/2024-10-26,False
" Baltimore, MD",https://www.wunderground.com/history/daily/KBWI/date/2024-10-26,False
" Belmont, MI",https://www.wunderground.com/history/daily/KBOS/date/2024-10-26,False
Monroe Golf Club,,True
London Hunt and Country Club,,True
" Prattville, AL",https://www.wunderground.com/history/daily/KMGM/date/2024-10-26,False
Lakewood Country Club,,True
" Halifax, NS",https://www.wunderground.com/history/daily/CYHZ/date/2024-10-26,False
" Davidson, NC",https://www.wunderground.com/history/daily/KCLT/date/2024-10-26,False
La Reserva de Sotogrande Club de Golf,,True
Himmerland Golf & Spa Resort,,True
" Hainan Island, China",https://www.wunderground.com/history/daily/ZLXN/date/2024-10-26,False
" Taipei, Taiwan",https://www.wunderground.com/history/daily/RCSS/date/2024-10-26,False
" Mexico City, Mexico",https://www.wunderground.com/history/daily/MMMX/date/2024-10-26,False
" Jackson, MS",https://www.wunderground.com/history/daily/KJAN/date/2024-10-26,False
" Napa, CA",https://www.wunderground.com/history/daily/KSTS/date/2024-10-26,False
" Gainesville, VA",https://www.wunderground.com/history/daily/KIAD/date/2024-10-26,False
" Auburn, AL",https://www.wunderground.com/history/daily/KCSG/date/2024-10-26,False
" Windermere, FL",https://www.wunderground.com/history/daily/KMCO/date/2024-10-26,False
Black Mountain Golf Club,,True
Delhi GC,,True
Pretoria CC,,True
Genzon GC,,True
Tomson Shanghai Pudong GC,,True
Heritage GC,,True
Royal County Down GC,,True
Gullane GC,,True
Skolkovo Golf Club,,True
Golf Club Milano,,True
Golf Resort Bad Griesbach,,True
Woburn GC,,True
" Boston, MA",https://www.wunderground.com/history/daily/KBOS/date/2024-10-26,False
" Wilmington, NC",https://www.wunderground.com/history/daily/KILM/date/2024-10-26,False
The 27 Club,,True
" Cambridge, ON",https://www.wunderground.com/history/daily/CYKF/date/2024-10-26,False
" Lancaster, PA",https://www.wunderground.com/history/daily/KMDT/date/2024-10-26,False
The Vancouver Golf Club,,True
Rot Golf Club,,True
" Ocala, FL",https://www.wunderground.com/history/daily/KGNV/date/2024-10-26,False
Kintetsu Kashikojima Country Club,,True
" Salt Lake City, UT",https://www.wunderground.com/history/daily/KSLC/date/2024-10-26,False
" Austin, TX",https://www.wunderground.com/history/daily/KAUS/date/2024-10-26,False
RACV Royal Pines Resort,https://www.wunderground.com/history/daily/KHOT/date/2024-10-26,False
Royal Selangor GC,,True
" Philadelphia, PA",https://www.wunderground.com/history/daily/KPHL/date/2024-10-26,False
" Victoria, BC",https://www.wunderground.com/history/daily/CYWH/date/2024-10-26,False
" Richmond, VA",https://www.wunderground.com/history/daily/KRIC/date/2024-10-26,False
" Erin, WI",https://www.wunderground.com/history/daily/OICS/date/2024-10-26,False
" Gurnee, IL",https://www.wunderground.com/history/daily/KORD/date/2024-10-26,False
" Jeju Island, South Korea",https://www.wunderground.com/history/daily/RKPC/date/2024-10-26,False
" Priddis, AB",https://www.wunderground.com/history/daily/CYYC/date/2024-10-26,False
" Omitama, Japan",https://www.wunderground.com/history/daily/RJAA/date/2024-10-26,False
" New Providence, Bahamas",https://www.wunderground.com/history/daily/MYNN/date/2024-10-26,False
" Cartagena, Colombia",https://www.wunderground.com/history/daily/SKCG/date/2024-10-26,False
" Punta Cana, Dominican Republic",https://www.wunderground.com/history/daily/MDPC/date/2024-10-26,False
" Mundelein, IL",https://www.wunderground.com/history/daily/KORD/date/2024-10-26,False
" Nashville, TN",https://www.wunderground.com/history/daily/KBNA/date/2024-10-26,False
" Springfield, IL",https://www.wunderground.com/history/daily/KSPI/date/2024-10-26,False
Valderrama GC,,True
Topwin Golf & CC,,True
Four Seasons GC,,True
Golf Club Gut Laerchenhof,,True
The Dutch,https://www.wunderground.com/history/daily/CYQY/date/2024-10-26,False
Regnum Carya Golf & Spa Resort,,True
Phoenix Gold Golf Club,,True
Olympic Golf Course,,True
Natadola Bay GC,,True
Saujana G & CC,,True
" Ann Arbor, MI",https://www.wunderground.com/history/daily/KDTW/date/2024-10-26,False
" Olympia Fields, IL",https://www.wunderground.com/history/daily/KGYY/date/2024-10-26,False
" Green Bay, WI",https://www.wunderground.com/history/daily/KGRB/date/2024-10-26,False
" Bedminster, NJ",https://www.wunderground.com/history/daily/KEWR/date/2024-10-26,False
" Ayrshire, Scotland",https://www.wunderground.com/history/daily/KPGV/date/2024-10-26,False
" Ottawa, ON",https://www.wunderground.com/history/daily/CYOW/date/2024-10-26,False
