event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date
182,John Deere Classic,"July 8 - 11, 2004",3800000," Silvis, IL",,71.0,TPC Deere Run,2004-07-08,2004-07-11
183,B.C. Open,"July 15 - 18, 2004",3000000," Endicott, NY",6974.0,72.0,En Joie GC,2004-07-15,2004-07-18
184,Valero Texas Open,"September 16 - 19, 2004",3500000," San Antonio, TX",,70.0,LaCantera GC,2004-09-16,2004-09-19
185,FUNAI Classic at the WALT DISNEY WORLD Resort,"October 21 - 24, 2004",4200000,,,72.0,,2004-10-21,2004-10-24
186,THE TOUR Championship presented by Coca-Cola,"November 4 - 7, 2004",6000000," Atlanta, GA",,70.0,East Lake Golf Club,2004-11-04,2004-11-07
187,84 LUMBER Classic,"September 23 - 26, 2004",4200000," Farmington, PA",7516.0,72.0,Nemacolin Mystic Rock Course,2004-09-23,2004-09-26
188,Chrysler Championship,"October 28 - 31, 2004",5000000," Palm Harbor, FL",,71.0,Innisbrook Resort (Copperhead Course),2004-10-28,2004-10-31
189,WGC-Accenture Match Play Championship,"February 25 - 29, 2004",7000000," Carlsbad, CA",7247.0,72.0,La Costa South Course,2004-02-25,2004-02-29
190,Reno-Tahoe Open,"August 19 - 22, 2004",3000000,,7472.0,72.0,,2004-08-19,2004-08-22
191,WGC-American Express Championship,"Sep 30 - October 3, 2004",7000000, Kilkenny,7256.0,72.0,Mount Juliet,2004-09-30,2004-10-03
192,Wachovia Championship,"May 6 - 9, 2004",5600000," Charlotte, NC",,72.0,Quail Hollow Club,2004-05-06,2004-05-09
193,Deutsche Bank Championship,"September 3 - 6, 2004",5000000," Norton, MA",,71.0,TPC Boston,2004-09-03,2004-09-06
194,Michelin Championship at Las Vegas,"October 7 - 10, 2004",4000000,,7063.0,71.0,,2004-10-07,2004-10-10
195,Ryder Cup,"September 17 - 19, 2004",,,,,,2004-09-17,2004-09-19
196,Mercedes Championships,"January 6 - 9, 2005",5300000," Kapalua, HI",7411.0,73.0,Kapalua Resort (Plantation Course),2005-01-06,2005-01-09
